Rank,Rating,Title,Ratings,Variance,Confidences,URL’s,Review Title,Review Text,Decision,Area Chair’s Comment
1,8.91,GENERATING HIGH FIDELITY IMAGES WITH SUBSCALE PIXEL NETWORKS AND MULTIDIMENSIONAL UPSCALING,"7,10,9",1.25,"3,5,3",https://openreview.net/forum?id=HylzTiC5Km,,,,
,,,,,,,,,,
,,,,,,,,,,
2,8.79,ALISTA: Analytic Weights Are As Good As Learned Weights in LISTA,"10,7,9",1.25,"5,4,5",https://openreview.net/forum?id=B1lnzn0ctQ,,,,
3,8.5,Benchmarking Neural Network Robustness to Common Corruptions and Perturbations,"7,9,9",0.94,"3,5,4",https://openreview.net/forum?id=HJz6tiCqYm,,,,
4,8.33,"On Random Deep Weight-Tied Autoencoders: Exact Asymptotic Analysis, Phase Transitions, and Implications to Training","9,8,8",0.47,"4,4,4",https://openreview.net/forum?id=HJx54i05tX,,,,
5,8.2,"Variational Discriminator Bottleneck: Improving Imitation Learning, Inverse RL, and GANs by Constraining Information Flow","6,10,8",1.63,"3,4,3",https://openreview.net/forum?id=HyxPx3R9tm,,,,
6,8.09,Large Scale GAN Training for High Fidelity Natural Image Synthesis,"8,7,9",0.82,"4,3,4",https://openreview.net/forum?id=B1xsqj09Fm,,,,
7,8.09,Ordered Neurons: Integrating Tree Structures into Recurrent Neural Networks,"9,7,8",0.82,"4,3,4",https://openreview.net/forum?id=B1l6qiR5F7,,,,
8,8.08,Slimmable Neural Networks,"8,9,7",0.82,"4,5,4",https://openreview.net/forum?id=H1gMCsAqY7,,,,
9,8.08,An Empirical Study of Example Forgetting during Deep Neural Network Learning,"9,8,7",0.82,"5,4,4",https://openreview.net/forum?id=BJlxm30cKm,,,,
10,8,Pay Less Attention with Lightweight and Dynamic Convolutions,"8,8,8",0,"4,4,4",https://openreview.net/forum?id=SkVhlh09tX,,,,
11,8,The effects of neural resource constraints on early visual representations,"8,8,8",0,"5,5,3",https://openreview.net/forum?id=S1xq3oR5tQ,,,,
12,8,Enabling Factorized Piano Music Modeling and Generation with the MAESTRO Dataset,"8,8,8",0,"5,2,4",https://openreview.net/forum?id=r1lYRjC9F7,,,,
13,8,BA-Net: Dense Bundle Adjustment Networks,"9,7,8",0.82,"4,4,4",https://openreview.net/forum?id=B1gabhRcYX,,,,
14,8,Posterior Attention Models for Sequence to Sequence Learning,"8,9,7",0.82,"5,4,4",https://openreview.net/forum?id=BkltNhC9FX,,,,
15,8,Near-Optimal Representation Learning for Hierarchical Reinforcement Learning,"8,9,7",0.82,"3,5,5",https://openreview.net/forum?id=H1emus0qF7,,,,
16,8,Learning Unsupervised Learning Rules,"8,8,8",0,"4,3,3",https://openreview.net/forum?id=HkNDsiC9KQ,,,,
17,8,Unsupervised Learning of the Set of Local Maxima,"8,8,8",0,"3,4,3",https://openreview.net/forum?id=H1lqZhRcFm,,,,
18,7.92,Temporal Difference Variational Auto-Encoder,"8,9,7",0.82,"4,4,5",https://openreview.net/forum?id=S1x4ghC9tQ,,,,
19,7.89,"Slalom: Fast, Verifiable and Private Execution of Neural Networks in Trusted Hardware","7,7,9",0.94,"3,2,4",https://openreview.net/forum?id=rJVorjCcKQ,,,,
20,7.73,Deep Decoder: Concise Image Representations from Untrained Non-convolutional Networks,"8,8,7",0.47,"4,4,3",https://openreview.net/forum?id=rylV-2C9KQ,,,,
21,7.71,A2BCD: Asynchronous Acceleration with Optimal Complexity,"7,7,9",0.94,"4,5,5",https://openreview.net/forum?id=rylIAsCqYm,,,,
22,7.7,Smoothing the Geometry of Probabilistic Box Embeddings,"8,8,7",0.47,"3,4,3",https://openreview.net/forum?id=H1xSNiRcF7,,,,
23,7.67,"The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks","5,9,9",1.89,"4,4,4",https://openreview.net/forum?id=rJl-b3RcF7,,,,
24,7.67,KnockoffGAN: Generating Knockoffs for Feature Selection using Generative Adversarial Networks,"6,10,7",1.7,"4,4,4",https://openreview.net/forum?id=ByeZ5jC5YQ,,,,
25,7.67,Sparse Dictionary Learning by Dynamical Neural Networks,"6,9,8",1.25,"4,4,4",https://openreview.net/forum?id=B1gstsCqt7,,,,
26,7.67,Supervised Community Detection with Line Graph Neural Networks,"6,9,8",1.25,"4,4,4",https://openreview.net/forum?id=H1g0Z3A9Fm,,,,
27,7.67,Lagging Inference Networks and Posterior Collapse in Variational Autoencoders,"7,8,8",0.47,"4,4,4",https://openreview.net/forum?id=rylDfnCqF7,,,,
28,7.67,ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness.,"7,8,8",0.47,"4,4,4",https://openreview.net/forum?id=Bygh9j09KX,,,,
